job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,finish_num,shortened_completion_timejob_id_order,tasks_num_of_single_job_order,task_generation_time_order,total_time_order,complation_time_ordered,finish_num
279,87,276301,7500,277312,88,-10,279,87,276301,7500,277322,88
280,80,276472,9400,277662,81,-146,280,80,276472,9400,277808,81
281,90,280095,7200,280748,91,-48,281,90,280095,7200,280796,91
282,82,280887,9950,281541,83,4,282,82,280887,9950,281537,83
283,88,281297,7550,282086,89,48,283,88,281297,7550,282038,89
284,83,282047,6850,282797,84,47,284,83,282047,6850,282750,84
285,88,282237,8000,282995,89,46,285,88,282237,8000,282949,89
286,85,283298,8750,284049,86,50,286,85,283298,8750,283999,86
287,81,283406,7200,284350,82,1,287,81,283406,7200,284349,82
288,88,283592,8450,284901,89,346,288,88,283592,8450,284555,89
289,80,285575,6700,286229,81,3,289,80,285575,6700,286226,81
290,85,286456,6500,287057,86,-101,290,85,286456,6500,287158,86
291,88,287309,7550,288009,89,-3,291,88,287309,7550,288012,89
292,85,288514,7400,289169,86,-46,292,85,288514,7400,289215,86
293,84,290628,6000,291279,85,51,293,84,290628,6000,291228,85
294,86,290774,8350,291629,87,1,294,86,290774,8350,291628,87
295,80,291542,7150,292245,81,-98,295,80,291542,7150,292343,81
296,82,292346,9950,293151,83,-145,296,82,292346,9950,293296,83
297,90,292757,8100,293498,91,-60,297,90,292757,8100,293558,91
298,89,294324,8950,295026,90,-3,298,89,294324,8950,295029,90
299,90,295149,9450,295850,91,-149,299,90,295149,9450,295999,91
300,89,295579,7150,296298,90,50,300,89,295579,7150,296248,90
301,80,296710,7600,297609,81,96,301,80,296710,7600,297513,81
302,86,296756,7000,297616,87,54,302,86,296756,7000,297562,87
303,86,297461,5200,298011,87,-151,303,86,297461,5200,298162,87
304,87,297478,7500,298213,88,-102,304,87,297478,7500,298315,88
305,90,297991,6750,298692,91,-222,305,90,297991,6750,298914,91
306,88,298825,8450,299529,89,-201,306,88,298825,8450,299730,89
307,82,299116,9950,300025,83,46,307,82,299116,9950,299979,83
308,89,299877,9850,300878,90,349,308,89,299877,9850,300529,90
309,90,301145,9450,301895,91,-51,309,90,301145,9450,301946,91
310,88,302960,8900,303711,89,100,310,88,302960,8900,303611,89
311,88,304613,11150,305471,89,107,311,88,304613,11150,305364,89
312,83,308342,9550,309093,84,-349,312,83,308342,9550,309442,84
313,87,309529,6150,310180,88,100,313,87,309529,6150,310080,88
314,82,310471,9050,311472,83,348,314,82,310471,9050,311124,83
315,84,311077,8250,311729,85,-98,315,84,311077,8250,311827,85
316,80,312110,9850,313110,81,348,316,80,312110,9850,312762,81
317,83,313562,8650,314263,84,48,317,83,313562,8650,314215,84
318,86,314041,5650,314713,87,-79,318,86,314041,5650,314792,87
319,90,315263,8550,315916,91,-51,319,90,315263,8550,315967,91
320,88,319560,8000,320211,89,1,320,88,319560,8000,320210,89
321,82,320906,7700,321557,83,-99,321,82,320906,7700,321656,83
322,88,322818,7550,323471,89,2,322,88,322818,7550,323469,89
323,80,323024,9400,324125,81,105,323,80,323024,9400,324020,81
324,89,326572,8050,327224,90,50,324,89,326572,8050,327174,90
325,86,328484,11500,329185,87,-303,325,86,328484,11500,329488,87
326,84,329036,7800,329786,85,-100,326,84,329036,7800,329886,85
327,86,329052,10150,330640,87,-50,327,86,329052,10150,330690,87
328,87,329258,7500,330641,88,-46,328,87,329258,7500,330687,88
329,86,329834,7900,330739,87,-498,329,86,329834,7900,331237,87
330,84,331062,7800,331713,85,-1,330,84,331062,7800,331714,85
331,88,331407,9350,332266,89,-47,331,88,331407,9350,332313,89
332,87,331464,6600,332470,88,11,332,87,331464,6600,332459,88
333,85,333077,7400,333727,86,-1,333,85,333077,7400,333728,86
334,88,333298,8450,334030,89,-148,334,88,333298,8450,334178,89
335,88,335196,8000,335948,89,-650,335,88,335196,8000,336598,89
336,85,335201,9650,336498,86,-350,336,85,335201,9650,336848,86
337,90,335235,7650,336399,91,1,337,90,335235,7650,336398,91
338,84,336765,10050,337466,85,-32,338,84,336765,10050,337498,85
339,89,337370,7150,338019,90,-52,339,89,337370,7150,338071,90
340,81,340968,6750,341618,82,49,340,81,340968,6750,341569,82
341,83,341025,6400,341773,84,-47,341,83,341025,6400,341820,84
342,83,342688,9550,343491,84,50,342,83,342688,9550,343441,84
343,85,343735,6950,344586,86,148,343,85,343735,6950,344438,86
344,83,345956,10000,347007,84,347,344,83,345956,10000,346660,84
