job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_timejob_id_order,tasks_num_of_single_job_order,task_generation_time_order,total_time_order
444,83,218554,38350,255167,248204,6963,444,83,218554,38350
445,86,219071,38950,256333,251204,5129,445,86,219071,38950
446,89,220339,41800,258333,253254,5079,446,89,220339,41800
447,80,220415,37750,258597,256754,1843,447,80,220415,37750
448,83,222073,37900,258834,256730,2104,448,83,222073,37900
449,83,222876,37450,259745,252207,7538,449,83,222876,37450
450,81,223545,39150,260738,254514,6224,450,81,223545,39150
451,89,223725,36850,263878,256357,7521,451,89,223725,36850
452,82,224466,38750,266738,259502,7236,452,82,224466,38750
453,84,224729,39300,268428,264357,4071,453,84,224729,39300
454,87,225256,39450,269428,267357,2071,454,87,225256,39450
455,87,225737,41250,263767,269552,-5785,455,87,225737,41250
456,90,226298,38700,250929,273552,-22623,456,90,226298,38700
457,80,226709,35500,252112,278507,-26395,457,80,226709,35500
458,85,226983,38900,253207,280557,-27350,458,85,226983,38900
459,86,227288,38500,254207,282057,-27850,459,86,227288,38500
460,84,227444,39750,255673,284602,-28929,460,84,227444,39750
461,82,227447,37400,255662,284607,-28945,461,82,227447,37400
462,84,228999,37500,258840,264102,-5262,462,84,228999,37500
